xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
-126.211,97.612,-21.631,-150,-139.07,98.809,-20.269,-140,5
-139.070,98.809,-20.269,-140,-148.634,92.772,-16.849,-120,7
-148.634,92.772,-16.849,-120,-155.748,83.727,-14.93,-100,6
-155.748,83.727,-14.93,-100,-160.94,70.117,-12.361,-70,6
-160.940,70.117,-12.361,-70,-156.425,58.107,-11.718,-70,7
-156.425,58.107,-11.718,-70,-145.551,40.935,-11.225,-79.999,7
-145.551,40.935,-11.225,-79.999,-140.409,23.78,-10.196,-90,8
-140.409,23.78,-10.196,-90,-136.691,4.713,-11.625,-110,8
-136.691,4.713,-11.625,-110,-138.346,-9.411,-10.009,-110,8
-138.346,-9.411,-10.009,-110,-141.771,-22.922,-10.189,-110,7
-141.771,-22.922,-10.189,-110,-147.358,-39.683,-10.445,-140,7
-147.358,-39.683,-10.445,-140,-152.705,-51.114,-10.293,-170,8
-152.705,-51.114,-10.293,-170,-162.603,-57.4,-11.102,-210,7
-162.603,-57.4,-11.102,-210,-177.502,-55.786,-10.986,-260,5
-177.502,-55.786,-10.986,-260,-182.397,-48.405,-11.77,50,7
-182.397,-48.405,-11.77,50,-182.175,-38.267,-12.731,20,4
-182.175,-38.267,-12.731,20,-176.098,-29.372,-14.239,0,5
-176.098,-29.372,-14.239,0,-163.789,-26.755,-16.293,-10,6
-163.789,-26.755,-16.293,-10,-147.134,-25.628,-16.064,-30,7
-147.134,-25.628,-16.064,-30,-131.518,-31.715,-18.614,-30,8
-131.518,-31.715,-18.614,-30,-118.372,-37.915,-15.94,-30,8
-118.372,-37.915,-15.94,-30,-105.73,-45.141,-14.964,-30,7
-105.730,-45.141,-14.964,-30,-91.597,-54.151,-12.688,0,7
-91.597,-54.151,-12.688,0,-77.935,-59.604,-12.135,0,8
-77.935,-59.604,-12.135,0,-64.558,-58.737,-12.337,0,7
-64.558,-58.737,-12.337,0,-49.872,-59.154,-12.216,-30,7
-49.872,-59.154,-12.216,-30,-32.905,-59.167,-14.824,-80,7
-32.905,-59.167,-14.824,-80,-24.233,-68.483,-13.497,-90,8
-24.233,-68.483,-13.497,-90,-23.186,-84.169,-13.636,-90,7
-23.186,-84.169,-13.636,-90,-24.53,-107.039,-14.038,-140,7
-24.530,-107.039,-14.038,-140,-28.173,-122.924,-14.058,-180,9
-28.173,-122.924,-14.058,-180,-42.32,-132.037,-14.53,-180,8
-42.320,-132.037,-14.53,-180,-62.994,-132.279,-14.227,-190,8
-62.994,-132.279,-14.227,-190,-80.537,-128.573,-12.704,-240,8
-80.537,-128.573,-12.704,-240,-94.977,-120.605,-12.825,90,8
-94.977,-120.605,-12.825,90,-100.113,-107.969,-14.007,90,8
-100.113,-107.969,-14.007,90,-99.768,-89.992,-12.6,90,7
-99.768,-89.992,-12.6,90,-98.519,-75.884,-15.267,90,8
-98.519,-75.884,-15.267,90,-99.751,-64.179,-16.129,90,7
-99.751,-64.179,-16.129,90,-100.863,-44.556,-19.731,90,7
-100.863,-44.556,-19.731,90,-98.584,-29.932,-21.821,90,8
-98.584,-29.932,-21.821,90,-100.202,-11.556,-20.742,70,7
-100.202,-11.556,-20.742,70,-96.871,10.207,-23.512,60,8
-96.871,10.207,-23.512,60,-87.748,26.164,-24.533,40,9
-87.748,26.164,-24.533,40,-77.158,38.366,-24.297,30,8
-77.158,38.366,-24.297,30,-66.11,46.986,-22.044,30,7
-66.110,46.986,-22.044,30,-54.39,51.924,-19.04,30,7
-54.390,51.924,-19.04,30,-44.118,56.892,-16.58,10,7
-44.118,56.892,-16.58,10,-33.246,64.168,-14.786,0,6
-33.246,64.168,-14.786,0,-19.742,66.167,-13.239,-20,7
-19.742,66.167,-13.239,-20,-8.375,66.059,-9.131,-50.001,7
-8.375,66.059,-9.131,-50.001,3.12,59.219,-6.871,-60,5
3.120,59.219,-6.871,-60,7.989,53.851,-5.354,-80,7
7.989,53.851,-5.354,-80,13.442,43.097,-5.805,-90,6
13.442,43.097,-5.805,-90,15.129,35.438,-2.985,-90,7
15.129,35.438,-2.985,-90,16.02,23.268,-4.098,-100,6
16.020,23.268,-4.098,-100,13.122,14.126,-2.693,-130,7
13.122,14.126,-2.693,-130,11.736,6.915,-4.261,-160,6
11.736,6.915,-4.261,-160,5.939,2.048,0.29,-180,4
5.939,2.048,0.29,-180,0,0,-1,-180,6
-19.277,-0.04,-2.519,-210,-33.71,0.975,-3.031,-230,9
-33.710,0.975,-3.031,-230,-44.902,8.289,-3.728,-250,7
-44.902,8.289,-3.728,-250,-53.588,17.345,-5.948,-250,7
-53.588,17.345,-5.948,-250,-57.542,30.629,-6.076,-250,7
-57.542,30.629,-6.076,-250,-64.321,42.968,-8.562,-230,7
-64.321,42.968,-8.562,-230,-68.527,56.998,-8.461,-230,7
-68.527,56.998,-8.461,-230,-75.625,66.477,-13.24,-220,7
-75.625,66.477,-13.24,-220,-86.161,75.967,-14.881,-210,7
-86.161,75.967,-14.881,-210,-94.875,86.328,-17.751,-200,7
-94.875,86.328,-17.751,-200,-104.425,91.282,-18.616,-190,7
-104.425,91.282,-18.616,-190,-114.808,95.128,-21.239,-180,6
-114.808,95.128,-21.239,-180,-126.211,97.612,-21.631,-150,6
-126.211,97.612,-21.631,-150,-139.07,98.809,-20.269,-140,5
-139.070,98.809,-20.269,-140,-148.634,92.772,-16.849,-120,7
-148.634,92.772,-16.849,-120,-155.748,83.727,-14.93,-100,6
-155.748,83.727,-14.93,-100,-160.94,70.117,-12.361,-70,6
-160.940,70.117,-12.361,-70,-156.425,58.107,-11.718,-70,7
-156.425,58.107,-11.718,-70,-145.551,40.935,-11.225,-79.999,7
-145.551,40.935,-11.225,-79.999,-140.409,23.78,-10.196,-90,8
-140.409,23.78,-10.196,-90,-136.691,4.713,-11.625,-110,8
-136.691,4.713,-11.625,-110,-138.346,-9.411,-10.009,-110,8
-138.346,-9.411,-10.009,-110,-141.771,-22.922,-10.189,-110,7
-141.771,-22.922,-10.189,-110,-147.358,-39.683,-10.445,-140,7
-147.358,-39.683,-10.445,-140,-152.705,-51.114,-10.293,-170,8
-152.705,-51.114,-10.293,-170,-162.603,-57.4,-11.102,-210,7
-162.603,-57.4,-11.102,-210,-177.502,-55.786,-10.986,-260,5
-177.502,-55.786,-10.986,-260,-182.397,-48.405,-11.77,50,7
-182.397,-48.405,-11.77,50,-182.175,-38.267,-12.731,20,4
-182.175,-38.267,-12.731,20,-176.098,-29.372,-14.239,0,5
-176.098,-29.372,-14.239,0,-163.789,-26.755,-16.293,-10,6
-163.789,-26.755,-16.293,-10,-147.134,-25.628,-16.064,-30,7
-147.134,-25.628,-16.064,-30,-131.518,-31.715,-18.614,-30,8
-131.518,-31.715,-18.614,-30,-118.372,-37.915,-15.94,-30,8
-118.372,-37.915,-15.94,-30,-105.73,-45.141,-14.964,-30,7
-105.730,-45.141,-14.964,-30,-91.597,-54.151,-12.688,0,7
-91.597,-54.151,-12.688,0,-77.935,-59.604,-12.135,0,8
-77.935,-59.604,-12.135,0,-64.558,-58.737,-12.337,0,7
-64.558,-58.737,-12.337,0,-49.872,-59.154,-12.216,-30,7
-49.872,-59.154,-12.216,-30,-32.905,-59.167,-14.824,-80,7
-32.905,-59.167,-14.824,-80,-24.233,-68.483,-13.497,-90,8
-24.233,-68.483,-13.497,-90,-23.186,-84.169,-13.636,-90,7
-23.186,-84.169,-13.636,-90,-24.53,-107.039,-14.038,-140,7
-24.530,-107.039,-14.038,-140,-28.173,-122.924,-14.058,-180,9
-28.173,-122.924,-14.058,-180,-42.32,-132.037,-14.53,-180,8
-42.320,-132.037,-14.53,-180,-62.994,-132.279,-14.227,-190,8
-62.994,-132.279,-14.227,-190,-80.537,-128.573,-12.704,-240,8
-80.537,-128.573,-12.704,-240,-94.977,-120.605,-12.825,90,8
-94.977,-120.605,-12.825,90,-100.113,-107.969,-14.007,90,8
-100.113,-107.969,-14.007,90,-99.768,-89.992,-12.6,90,7
-99.768,-89.992,-12.6,90,-98.519,-75.884,-15.267,90,8
-98.519,-75.884,-15.267,90,-99.751,-64.179,-16.129,90,7
-99.751,-64.179,-16.129,90,-100.863,-44.556,-19.731,90,7
-100.863,-44.556,-19.731,90,-98.584,-29.932,-21.821,90,8
-98.584,-29.932,-21.821,90,-100.202,-11.556,-20.742,70,7
-100.202,-11.556,-20.742,70,-96.871,10.207,-23.512,60,8
-96.871,10.207,-23.512,60,-87.748,26.164,-24.533,40,9
-87.748,26.164,-24.533,40,-77.158,38.366,-24.297,30,8
-77.158,38.366,-24.297,30,-66.11,46.986,-22.044,30,7
-66.110,46.986,-22.044,30,-54.39,51.924,-19.04,30,7
-54.390,51.924,-19.04,30,-44.118,56.892,-16.58,10,7
-44.118,56.892,-16.58,10,-33.246,64.168,-14.786,0,6
-33.246,64.168,-14.786,0,-19.742,66.167,-13.239,-20,7
-19.742,66.167,-13.239,-20,-8.375,66.059,-9.131,-50.001,7
-8.375,66.059,-9.131,-50.001,3.12,59.219,-6.871,-60,5
3.120,59.219,-6.871,-60,7.989,53.851,-5.354,-80,7
7.989,53.851,-5.354,-80,13.442,43.097,-5.805,-90,6
13.442,43.097,-5.805,-90,15.129,35.438,-2.985,-90,7
15.129,35.438,-2.985,-90,16.02,23.268,-4.098,-100,6
16.020,23.268,-4.098,-100,13.122,14.126,-2.693,-130,7
13.122,14.126,-2.693,-130,11.736,6.915,-4.261,-160,6
11.736,6.915,-4.261,-160,5.939,2.048,0.29,-180,4
5.939,2.048,0.29,-180,0,0,-1,-180,6
