dy, dz, xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
0,0,-7.207,65.176,-11.425,-50.001,2.23,60.265,-6.7,-60,7
0,0,2.23,60.265,-6.7,-60,8.34,51.983,-6.031,-80,6
7,47,8.34,51.983,-6.031,-80,13.082,43.091,-5.154,-90,6
14,69,13.082,43.091,-5.154,-90,15.41,35.701,-4.72,-90,6
33,62,15.41,35.701,-4.72,-90,14.259,25.132,-4.576,-100,6
-28,49,14.259,25.132,-4.576,-100,14.173,14.407,-2.387,-130,6
25,69,14.173,14.407,-2.387,-130,10.971,5.462,-3.316,-160,6
12,46,10.971,5.462,-3.316,-160,7.611,2.044,-0.457,-180,4
0,0,7.611,2.044,-0.457,-180,0,0,-1,-180,6
0,0,-21.285,-0.317,-4.024,-210,-33.908,0.353,-4.889,-230,9
23,55,-33.908,0.353,-4.889,-230,-44.259,6.811,-3.963,-250,7
9,66,-44.259,6.811,-3.963,-250,-53.387,17.93,-5.399,-250,7
0,0,-53.387,17.93,-5.399,-250,-57.91,31.266,-6.645,-250,7
0,0,-57.91,31.266,-6.645,-250,-63.57,44.565,-7.686,-230,7
0,0,-63.57,44.565,-7.686,-230,-68.107,57.827,-10.112,-230,7
29,48,-68.107,57.827,-10.112,-230,-76.196,65.754,-11.029,-220,7
26,37,-76.196,65.754,-11.029,-220,-84.725,77.922,-14.765,-210,6
0,0,-84.725,77.922,-14.765,-210,-95.051,83.564,-17.054,-200,7
10,32,-95.051,83.564,-17.054,-200,-106.227,91.851,-19.617,-190,7
25,50,-106.227,91.851,-19.617,-190,-115.882,94.943,-22.074,-180,7
9,45,-115.882,94.943,-22.074,-180,-127.857,98.051,-21.82,-150,6
-20,66,-127.857,98.051,-21.82,-150,-139.409,96.528,-18.77,-140,5
0,0,-139.409,96.528,-18.77,-140,-148.661,92.089,-19.074,-120,7
-22,53,-148.661,92.089,-19.074,-120,-154.791,81.925,-14.888,-100,6
0,0,-154.791,81.925,-14.888,-100,-159.55,70.313,-12.675,-70,7
-27,69,-159.55,70.313,-12.675,-70,-157.775,57.738,-10.626,-70,5
13,63,-157.775,57.738,-10.626,-70,-145.422,42.152,-11.851,-79.999,7
0,0,-145.422,42.152,-11.851,-79.999,-138.63,25.228,-11.123,-90,8
0,0,-138.63,25.228,-11.123,-90,-135.357,4.012,-11.354,-110,8
0,0,-135.357,4.012,-11.354,-110,-137.818,-10.044,-10.825,-110,8
-19,67,-137.818,-10.044,-10.825,-110,-143.127,-24.051,-11.902,-110,7
96,25,-143.127,-24.051,-11.902,-110,-146.531,-38.376,-10.587,-140,7
0,0,-146.531,-38.376,-10.587,-140,-153.615,-49.225,-10.339,-170,7
-7,59,-153.615,-49.225,-10.339,-170,-161.613,-58.04,-10.579,-210,7
0,0,-161.613,-58.04,-10.579,-210,-177.085,-57.153,-9.117,-260,5
